extern_id;term;Aantal
DAI068439199;D22400;4
DAI068439199;D22500;4
DAI068439199;E13000;4
DAI069810885;D21400;5
DAI069810885;D22100;5
DAI069810885;D23120;5
DAI069810885;D23200;5
DAI069810885;E11000;5
DAI068694822;D32000;1
DAI071872671;D23110;1
DAI073681016;D16000;3
DAI073681016;D66000;3
DAI073681016;D70000;3
DAI068553595;D23214;1
DAI069265127;D42100;1
DAI070467498;D42000;1
DAI069866163;D16000;2
DAI069866163;D60000;2
DAI069279608;D11200;1
DAI304845736;D12600;1
DAI072280484;D12200;3
DAI072280484;D12400;3
DAI072280484;D12800;3
DAI067827934;D13400;1
DAI073146072;D22200;1
DAI068235704;D21100;1
DAI069220522;D36300;1
DAI068285183;D36300;1
DAI068233450;D34000;4
DAI068233450;D36000;4
DAI068233450;D36900;4
DAI068233450;D38000;4
DAI069151164;D34300;3
DAI069151164;D36900;3
DAI069151164;D38000;3
DAI068519656;D34000;2
DAI068519656;D38000;2
DAI069866724;D35000;1
DAI069439788;D37000;2
DAI069439788;D63000;2
DAI068346662;D41000;2
DAI068346662;D51000;2
DAI067731384;D32400;2
DAI067731384;D54000;2
DAI068432836;D34100;2
DAI068432836;D37000;2
DAI072960213;D41200;2
DAI072960213;D70000;2
DAI322978386;D42000;2
DAI322978386;D70000;2
DAI074548662;D70000;1
DAI298680661;D21500;1
DAI069096023;D21400;2
DAI069096023;D23120;2
DAI069209391;D23310;1
DAI071235035;D21400;2
DAI071235035;D21700;2
DAI068449399;D23370;1
DAI068425430;D23222;1
DAI068034962;D23340;1
DAI068724691;D21300;1
DAI07347911X;D23120;3
DAI07347911X;D23227;3
DAI07347911X;E11000;3
DAI298681226;D14200;4
DAI298681226;D16000;4
DAI298681226;D25100;4
DAI298681226;E12000;4
DAI298677075;D23200;2
DAI298677075;D23220;2
DAI075087650;D23224;1
DAI296146765;D70000;1
DAI068467389;D42200;2
DAI068467389;D70000;2
DAI072487070;D42200;2
DAI072487070;D70000;2
DAI298672561;D70000;1
DAI298672316;D42100;3
DAI298672316;D42200;3
DAI298672316;D70000;3
DAI068256957;D42200;3
DAI068256957;D52000;3
DAI068256957;D61000;3
DAI068358148;D42200;1
DAI068516126;D42100;1
DAI06907223X;D34000;1
DAI068254350;D34000;1
DAI068453957;D12100;3
DAI068453957;D14320;3
DAI068453957;D21300;3
DAI070342806;D12100;4
DAI070342806;D14300;4
DAI070342806;D16200;4
DAI070342806;E12000;4
DAI068331223;D13100;1
DAI069103887;D13200;5
DAI069103887;D13300;5
DAI069103887;D13500;5
DAI069103887;D13700;5
DAI069103887;E16000;5
DAI072697865;D13500;4
DAI072697865;D14340;4
DAI072697865;D14500;4
DAI072697865;D16600;4
DAI073127892;D12200;2
DAI073127892;D12700;2
DAI068401930;D32100;1
DAI068193424;D32100;1
DAI073709018;D11100;3
DAI073709018;D16200;3
DAI073709018;D16300;3
DAI072538430;D11600;3
DAI072538430;D11700;3
DAI072538430;D14340;3
DAI068576013;D11800;1
DAI075268523;D42200;2
DAI075268523;D70000;2
DAI068280041;D41400;2
DAI068280041;D42200;2
DAI072671998;D70000;1
DAI068893825;D42100;1
DAI068975732;D52000;1
DAI06949391X;D52000;1
DAI069228922;D52000;2
DAI069228922;D70000;2
DAI069413533;D16400;2
DAI069413533;D70000;2
DAI073757527;D14310;2
DAI073757527;D16100;2
DAI071717811;D16100;1
DAI071716963;D70000;3
DAI071716963;E13000;3
DAI071716963;E15000;3
DAI069902178;D18220;3
DAI069902178;D21400;3
DAI069902178;E11000;3
DAI068001010;D11700;4
DAI068001010;D18200;4
DAI068001010;D22400;4
DAI068001010;D70000;4
DAI071079416;D13200;2
DAI071079416;D13500;2
DAI070479763;D18250;3
DAI070479763;D61000;3
DAI070479763;E13000;3
DAI073753866;D18250;5
DAI073753866;D24300;5
DAI073753866;D42100;5
DAI073753866;D70000;5
DAI073753866;E13000;5
DAI068618336;D21300;4
DAI068618336;D21700;4
DAI068618336;D22100;4
DAI068618336;E11000;4
