Type;WeighPerc
Annotation;1
Article;1
Bachelor Thesis;0
Book;1
Book part;1
Book Review;0
Conference item;1
Conference Object;1
Conference Paper;1
Conference Proceedings;1
Contribution to periodical;0
Dataset;0
Doctoral Thesis;1
Lecture;0
Master Thesis;0
Other;0
Patent;0
Preprint;0
Report;1
Review;0
Technical Documentation;0
Working Paper;0
Unknown;0
