VSNUNaam;NARCISNaam
EUR;Erasmus
LEI;Leiden university
RU;Radboud
RUG;RUG
TiU;Tilburg
TUD;TU Delft
TUE;TU/e
UM;Maastricht University
UT;Universiteit Twente
UU;Universiteit Utrecht
UVA;UvA
VU;VU
WU;Wageningen UR
